category	name	day	weight	price	description
Выпечка соленая	Эчпочмак со мясом	все дни	шт	21.00	Изделие из дрожжевого теста с начинкой из мяса, картофеля,лука.
Фрукты	Апельсин	все дни	шт	13.00
Фрукты	Банан	все дни	шт	14.00
Фрукты	Яблоко	все дни	шт	8.00
Соусы и добавки	Кетчуп "Томатный"	все дни	шт	4.00
Соусы и добавки	Кофе Nero Aroma COLUMBIA SUPREMO, 1 кг	все дни	шт	400.00
Соусы и добавки	Майонез Провансаль"	все дни	шт	4.00
Соусы и добавки	Молоко суперпастеризованное,1л	все дни	шт	45.00
Соусы и добавки	Сметана порц	все дни	шт	4.00
Соусы и добавки	Сметана упаковка	все дни	шт	40.00
Соусы и добавки	Соус "Сырный"	все дни	шт	4.00
Соусы и добавки	Соус "Тар-тар"	все дни	шт	4.00
Соусы и добавки	Соус "Терияки"	все дни	шт	8.00
Соусы и добавки	Хлебушек молочный	все дни	шт	1.00
Соусы и добавки	Хлебушек ржаной	все дни	шт	1.00
Напитки	Активия бутылка 290 гр.	все дни	290	30.00
Напитки	Кефир 0,5л 	все дни	500	25.00
Напитки	Клюквенный морс 0,5л	все дни	500	25.00
Напитки	Клюквенный морс 1л	все дни	1000	35.00
Напитки	Кока-кола 0,5л	все дни	500	15.00
Напитки	Компот 0,5 л	все дни	500	15.00
Напитки	Компот 1 л	все дни	1000	25.00
Напитки	Лимонад 0,5л	все дни	500	20.00
Напитки	Лимонад 1л	все дни	1000	30.00
Напитки	Моршинская негазированная 0,5л	все дни	500	13.00
Напитки	Моршинская негазированная 0,75л	все дни	750	14.00
Напитки	Моршинская слабогазированная 0,5л	все дни	500	13.00
Напитки	Моршинская слабогазированная 0,75л	все дни	750	14.00
Напитки	Сок 0,2л Апельсин	все дни	200	12.00
Напитки	Сок 0,2л Томат	все дни	200	12.00
Напитки	Сок 0,2л Экзотик	все дни	200	12.00
Напитки	Сок 0,2л Яблоко	все дни	200	12.00
Напитки	Сок 1л Апельсин	все дни	1000	33.00
Напитки	Сок 1л Томат	все дни	1000	33.00
Напитки	Сок 1л Экзотик	все дни	1000	33.00
Напитки	Сок 1л Яблоко	все дни	1000	33.00
Напитки	Спрайт 0,5л	все дни	500	15.00
Напитки	Узвар 0,5 л	все дни	500	15.00
Напитки	Узвар 1 л 	все дни	1000	25.00
Напитки	Фанта 0,5л	все дни	500	15.00
Одноразовые приборы	Одноразовая вилка	все дни	шт	1.00
Одноразовые приборы	Одноразовая ложка	все дни	шт	1.00
Одноразовые приборы	Одноразовые приборы набор (ложка, вилка, ножик, салфетка, соль)	все дни	шт	3.00
Одноразовые приборы	Одноразовый нож	все дни	шт	1.00
